               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088354,             0.03021,                   0,            0.003197,             0.95909,            0.093093,            0.025936,            0.067271,             0.01983,                   0,           0.0032727,           0.0032727,            0.070545
                   1,            0.069845,            0.022593,                   0,             0.47597,             0.71364,             0.51191,             0.19653,            0.062001,            0.013562,                   0,           0.0064753,           0.0064753,            0.040415
                   2,            0.061433,            0.017936,                   0,             0.52925,             0.68182,             0.60705,             0.21965,            0.059515,            0.013446,                   0,           0.0095458,           0.0095458,            0.010152
                   3,            0.055687,            0.015758,                   0,             0.64564,             0.43182,             0.46211,             0.17009,            0.058571,            0.011703,                   0,            0.009406,            0.009406,            0.009406
                   4,              0.0449,            0.012923,                   0,             0.82966,             0.79702,             0.81937,             0.32918,            0.045768,           0.0074855,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.043842,            0.011875,                   0,             0.94029,             0.89545,             0.92847,             0.43756,            0.039392,           0.0076658,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040609,            0.011113,                   0,             0.96659,             0.92059,             0.95305,             0.42755,            0.039839,           0.0070929,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.036614,            0.010473,                   0,             0.93224,             0.87551,             0.90314,             0.31102,            0.045061,           0.0071352,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.03756,            0.010583,                   0,             0.94951,             0.94545,             0.95787,             0.47192,            0.034782,           0.0072695,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.035673,            0.010356,                   0,             0.95803,             0.91364,             0.94921,             0.42123,             0.03892,            0.006733,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034483,             0.01004,                   0,             0.95837,             0.94168,             0.97477,             0.47132,             0.03617,           0.0067126,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.034014,           0.0095427,                   0,             0.98495,             0.96818,             0.98572,              0.4889,            0.034391,           0.0064832,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032798,           0.0096036,                   0,             0.96333,             0.95541,             0.97587,             0.49323,            0.032902,           0.0065251,                   0,            0.007822,            0.007822,            0.007822
